feature,S1,S1_conf,ST,ST_conf,rank
T_dis,0.7995330560186612,0.0677950193235945,0.8071328824686066,0.057524460637314916,1
T_gc_out,0.09105713109070958,0.028869954248107912,0.09026358864768189,0.0073561361432561406,2
T_suc,0.07066957655797891,0.020039221724430182,0.06948018741273028,0.006838667641135083,3
T_eva_in,0.03199739025308904,0.014759389208764179,0.0314634347752784,0.0029135437764550185,4
P_suc,0.0040549729601174166,0.006001848856723764,0.004947497918303344,0.0004516015510697636,5
P_eva_in,0.0031899083052628627,0.0045911171772833725,0.002900765314959815,0.0002495231138619523,6
P_eva_out,0.0032610949926551573,0.004911524811769042,0.002848949158113804,0.0002905377164235694,7
P_valve_in,0.0020465357495475494,0.003911001906940071,0.0026473437095262376,0.00025313148674005595,8
T_eva_out,0.003398604416191605,0.003905214526765367,0.0025643685168561412,0.00026056732437938193,9
P_gc_out,0.00011084282491185855,0.0025309666977006893,0.000805571799116013,0.00010308088549992966,10
P_dis,9.636344456248234e-05,0.002248102201788058,0.000615195234938849,7.02671254891281e-05,11
P_gc_in,0.0006163104292853391,0.0021277471094587937,0.0005608626448335346,6.0825008618428814e-05,12
T_amb,-4.6655477736340816e-05,0.0002770663519674449,7.739430290835242e-06,1.0718926819888537e-06,13
