feature,gini_importance,S1,ST,gini_rank,sobol_rank,avg_rank
COP,0.6590505262120977,0.9130146913710134,0.9359945551020823,1.0,1.0,1.0
h_gc_mid[kJ/kg],0.05724470527434797,0.017090868453076707,0.025649741360561987,2.0,3.0,2.5
h_eva_in[kJ/kg],0.053852639777994156,0.023600887704710784,0.03070301438565956,3.0,2.0,2.5
P_suc[bar],0.050500862672334876,0.007329405827032614,0.021323201213176195,4.0,4.0,4.0
P_gc_mid[bar],0.018452454931613328,0.0004589947247089566,0.0019374608285668987,6.0,6.0,6.0
W_comp[kW],0.02066391893091069,-0.0005790095614481734,0.0015755999910828432,5.0,8.0,6.5
h_gc_out[kJ/kg],0.00885267134256648,0.0007421769642131625,0.002344198568665115,12.0,5.0,8.5
Q_s1[kW],0.016418504506457685,0.003563455500105448,0.0009013153513316698,7.0,12.0,9.5
P_gc_out[bar],0.01266318708961984,-0.0014177239498088744,0.0011952469360533278,9.0,11.0,10.0
T_suc[degC],0.009275100309087885,0.003216604376831896,0.0013688741000796821,11.0,10.0,10.5
P_dis[bar],0.007141093775266557,0.0021942908302716806,0.0018446173271528228,14.0,7.0,10.5
m_dot[kg/s],0.01005389868673894,0.0019223979098875797,0.0004394867680709424,10.0,14.0,12.0
T_dis[degC],0.0070906941942474235,-0.0027757814733917786,0.0015352547334721702,15.0,9.0,12.0
T_gc_mid[degC],0.007685930984062417,0.00022837262419397354,0.0002760866892834269,13.0,15.0,14.0
T_air_out[degC],0.006493941292525331,0.000610239786912693,0.0005811531439093438,16.0,13.0,14.5
Q_s2[kW],0.013222189553416844,6.474010469429094e-05,0.00010030662084659321,8.0,22.0,15.0
h_suc[kJ/kg],0.006131556715346507,0.00041422866114359516,0.00018113207564153126,17.0,18.0,17.5
Q_total[kW],0.005711299044154045,-0.00033521619257951846,0.00023018944491756457,19.0,17.0,18.0
P_eva_in[bar],0.003958754886294515,-0.0018844567534474206,0.00025243543222986395,21.0,16.0,18.5
T_gc_out[degC],0.005760190446230404,0.00036796380726027443,0.0001452182789199485,18.0,21.0,19.5
T_mid[degC],0.005157963742093711,9.733179152677902e-05,0.00014823557066120165,20.0,20.0,20.0
P_eva_out[bar],0.002166176842936352,-0.0010475548455808558,0.00015747751509805635,25.0,19.0,22.0
T_eva_out[degC],0.002298223402811,0.00047668153494087985,7.336681260200324e-05,23.0,23.0,23.0
h_dis[kJ/kg],0.0037841727025080423,-0.00030105820685077386,4.781099621720812e-05,22.0,25.0,23.5
T_eva_in[degC],0.0019267433372376459,-3.187171017403171e-05,6.987189784510997e-05,26.0,24.0,25.0
h_eva_out[kJ/kg],0.0021699852027532015,0.00011443220738641661,2.4966901574964365e-05,24.0,27.0,25.5
T_amb[degC],0.0007303061779040384,0.0003444796335960043,3.175290130343627e-05,27.0,26.0,26.5
T_amb_set,0.0006999380337317369,7.858251745482043e-06,9.466151227925745e-06,28.0,29.0,28.5
V_air_indoor[kg/min],0.00012070374101780602,0.00012630066065380375,2.3693488218167586e-05,31.0,28.0,29.5
T_air_in[degC],0.0005092497272066764,4.418955329808195e-05,3.706721977737954e-06,29.0,31.0,30.0
V_air_outdoor[m/s],0.0002124164644860845,4.2354988541883837e-05,7.648325045795596e-06,30.0,30.0,30.0
